"CA8363 - WATERFORD S+G         LBR-3         LIE L586 XPOWER         In Service         7 Nov, 2019                 Last Meter Hours:  15,246        ",,,,,,,,,,,,,,,
P02-ADT-22-2,XM4VDC493,WSG-951,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,65,65,0,0,No Inspection Data,,,0
P03-ADT-22-3,YCJ0366A4AC2,WSG-592C2,29.5R25 KAL VMT B2B KTCA E3 RT,N,,,No Pressure,32,32,587,0,No Inspection Data,,,0
P04-ADT-22-4,XVY1736M4AC3,WSG-518C3,29.5R25 KAL VMT B2B KTCA E3 RT,N,,,No Pressure,32,32,587,0,No Inspection Data,,,0
P05-ADT-22-5,S24600216,WSG-839,29.5R25 KAL VMT B2B KTCA E3 RT,N,,,No Pressure,29,29,587,0,No Inspection Data,,,0
P06-ADT-22-6,X5E003609C1,WSG-736C1,29.5R25 KAL VMT B2B KTCA E3 RT,N,,,No Pressure,28,28,587,0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-15         CAT 980H         In Service                         Last Meter Hours:  28,965        ",,,,,,,,,,,,,,,
P01-CAT-15-1,00926BD05C1,WSG-511C1,35/65-33 KAL GL S&G KTCA L5 RT,N,,,No Pressure,56,56,"5,577",0,No Inspection Data,,,0
P02-CAT-15-2,00128BE05C1,WSG-508C1,35/65-33 KAL GL S&G KTCA L5 RT,Y,,,No Pressure,51,51,"5,577",0,No Inspection Data,,,0
P03-CAT-15-3,Y8U009561C1,WSG-288C1,35/65-33 KAL GL S&G KTCA L4 RT,Y,,,No Pressure,22,22,"5,577",0,No Inspection Data,,,0
P04-CAT-15-4,Y8U003567C1,WSG-287C1,35/65-33 KAL GL S&G KTCA L4 RT,Y,,,No Pressure,23,23,"5,577",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-23         CAT 988F         In Service                         Last Meter Hours:  27,769        ",,,,,,,,,,,,,,,
P01-CAT-23-1,FPC3429E2A,WSG-639,35/65R33 MIC XLDD2 A L5 **,Y,,,No Pressure,49,49,"8,524",0,No Inspection Data,,,0
P02-CAT-23-2,UPC2846E5A,WSG-642,35/65R33 MIC XLDD2 A L5 **,N,,,No Pressure,56,56,"8,610",0,No Inspection Data,,,0
P03-CAT-23-3,UPC2829E2A,WSG-641,35/65R33 MIC XLDD2 A L5 **,N,,,No Pressure,52,52,"8,610",0,No Inspection Data,,,0
P04-CAT-23-4,FPC4741E0A,WSG-640,35/65R33 MIC XLDD2 A L5 **,N,,,No Pressure,55,55,"8,610",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-27         CAT 988F         In Service                         Last Meter Hours:  25,604        ",,,,,,,,,,,,,,,
P01-CAT-27-1,,WSG-609,35/65R33 GDY RL5K 6S L5 **,N,,,No Pressure,55,55,"5,255",0,No Inspection Data,,,0
P02-CAT-27-2,,WSG-608,35/65R33 GDY RL5K 6S L5 **,N,,,No Pressure,58,58,"5,255",0,No Inspection Data,,,0
P03-CAT-27-3,S3K003588,WSG-682,35/65R33 BST VSNT DUH L4 MT,N,,,No Pressure,33,33,"10,061",0,No Inspection Data,,,0
P04-CAT-27-4,522644525,WSG-707,35/65R33 KAL XLDD2 B2B KTCA L5 RT,N,,,No Pressure,60,60,"6,045",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-28         CAT 980G         In Service                         Last Meter Hours:  22,670        ",,,,,,,,,,,,,,,
P01-CAT-28-1,S1A003682,WSG-671,29.5R25 BST VMT D2A L3 *,N,,,No Pressure,22,22,"7,058",0,No Inspection Data,,,0
P02-CAT-28-2,,WSG-668,29.5R25 BST VMT D2A L3 *,N,,,No Pressure,21,21,"7,058",0,No Inspection Data,,,0
P03-CAT-28-3,S1A003018,WSG-669,29.5R25 BST VMT D2A L3 *,N,,,No Pressure,20,20,"7,058",0,No Inspection Data,,,0
P04-CAT-28-4,S0J002661,WSG-670,29.5R25 BST VMT D2A L3 *,N,,,No Pressure,21,21,"7,058",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-30         CAT 980H         In Service                         Last Meter Hours:  25,212        ",,,,,,,,,,,,,,,
P01-CAT-30-1,523054045,WSG-891,29.5R25 KAL GL S&G KTCA L5 RT,N,,,No Pressure,90,90,"1,509",0,No Inspection Data,,,0
P02-CAT-30-2,523054049,WSG-894,29.5R25 KAL GL S&G KTCA L5 RT,N,,,No Pressure,89,89,"1,509",0,No Inspection Data,,,0
P03-CAT-30-3,SOA000328,WSG-892,29.5R25 KAL GL S&G KTCA L5 RT,N,,,No Pressure,92,92,"1,373",0,No Inspection Data,,,0
P04-CAT-30-4,SOL001975,WSG-893,29.5R25 KAL GL S&G KTCA L5 RT,N,,,No Pressure,90,90,"1,373",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-32         CAT 980H         In Service                         Last Meter Hours:  22,474        ",,,,,,,,,,,,,,,
P01-CAT-32-1,F7S481559,WSG-818,29.5R25 BST VSNT DE2 E4 MS,N,,,No Pressure,44,44,"2,074",0,No Inspection Data,,,0
P02-CAT-32-2,F7S481560,WSG-821,29.5R25 BST VSNT DE2 E4 MS,N,,,No Pressure,44,44,"2,074",0,No Inspection Data,,,0
P03-CAT-32-3,F7S481564,WSG-819,29.5R25 BST VSNT DE2 E4 MS,N,,,No Pressure,44,44,"2,074",0,No Inspection Data,,,0
P04-CAT-32-4,F7S481556,WSG-820,29.5R25 BST VSNT DE2 E4 MS,N,,,No Pressure,44,44,"2,074",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-36         CAT 988H         In Service                         Last Meter Hours:  25,191        ",,,,,,,,,,,,,,,
P01-CAT-36-1,S8N002284,WSG-513,35/65R33 BST VSDL D2A L5 *,N,,,No Pressure,27,27,"10,496",0,No Inspection Data,,,0
P02-CAT-36-2,S8N002286,WSG-512,35/65R33 BST VSDL D2A L5 *,N,,,No Pressure,32,32,"10,965",0,No Inspection Data,,,0
P03-CAT-36-3,S8N002287,WSG-514,35/65R33 BST VSDL D2A L5 *,Y,,,No Pressure,32,32,"10,489",0,No Inspection Data,,,0
P04-CAT-36-4,S8N002524,WSG-515,35/65R33 BST VSDL D2A L5 *,Y,,,No Pressure,35,35,"10,538",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-37         CAT 988H         In Service                         Last Meter Hours:  28,862        ",,,,,,,,,,,,,,,
P01-CAT-37-1,ZPF1870T4A,WSG-795,35/65R33 MIC XTXL A L4 ***,N,,,No Pressure,33,33,"6,412",0,No Inspection Data,,,0
P02-CAT-37-2,ZPF4391T3A,WSG-794,35/65R33 MIC XTXL A L4 ***,N,,,No Pressure,35,35,"6,412",0,No Inspection Data,,,0
P03-CAT-37-3,ZPF4397T7A,WSG-796,35/65R33 MIC XTXL A L4 ***,N,,,No Pressure,28,28,"6,412",0,No Inspection Data,,,0
P04-CAT-37-4,ZPF1860T4A,WSG-793,35/65R33 MIC XTXL A L4 ***,N,,,No Pressure,29,29,"6,412",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-38         CAT 980H         In Service                         Last Meter Hours:  24,275        ",,,,,,,,,,,,,,,
P01-CAT-38-1,X5B003240,WSG-827,29.5-25 FST PTLD Std L5S 34 PR,N,,,No Pressure,62,62,"5,242",0,No Inspection Data,,,0
P02-CAT-38-2,524094221,WSG-909,29.5R25 KAL PTLD S&G KTCA L5S RT,N,,,No Pressure,84,84,"1,743",0,No Inspection Data,,,0
P03-CAT-38-3,523054008,WSG-751,29.5R25 KAL PTLD S&G KTCA L5S RT,Y,,,No Pressure,52,52,"6,794",0,No Inspection Data,,,0
P04-CAT-38-4,X1J000859,WSG-594,29.5-25 FST PTLD Std L5S 34 PR,Y,,,No Pressure,17,17,"5,939",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-39         CAT 980H         In Service                         Last Meter Hours:  19,230        ",,,,,,,,,,,,,,,
P01-CAT-39-1,W7Y003971,WSG-829,29.5R25 BST VJT D2A L3 *,N,,,No Pressure,35,35,"4,130",0,No Inspection Data,,,0
P02-CAT-39-2,W7R001135,WSG-828,29.5R25 BST VJT D2A L3 *,N,,,No Pressure,37,37,"4,130",0,No Inspection Data,,,0
P03-CAT-39-3,W7R001137,WSG-830,29.5R25 BST VJT D2A L3 *,N,,,No Pressure,35,35,"4,130",0,No Inspection Data,,,0
P04-CAT-39-4,W7R001141,WSG-831,29.5R25 BST VJT D2A L3 *,N,,,No Pressure,37,37,"4,130",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-40         CAT 980H         In Service                         Last Meter Hours:  17,754        ",,,,,,,,,,,,,,,
P01-CAT-40-1,F7B285358,WSG-836,29.5R25 BST VJT D2A L3 *,N,,,No Pressure,24,24,"2,726",0,No Inspection Data,,,0
P02-CAT-40-2,F7B285355,WSG-837,29.5R25 BST VJT D2A L3 *,N,,,No Pressure,24,24,"2,726",0,No Inspection Data,,,0
P03-CAT-40-3,1VYO292M4AC2,WSG-539C2,29.5R25 KAL VMT B2B KTCA E3 RT,N,,,No Pressure,19,19,"2,726",0,No Inspection Data,,,0
P04-CAT-40-4,CUY1529MIA/528889055C1,WSG-521C1,29.5R25 KAL VMT B2B KTCA E3 RT,Y,,,No Pressure,21,21,"2,636",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         CAT-41         CAT 980H         In Service                         Last Meter Hours:  11,756        ",,,,,,,,,,,,,,,
P01-CAT-41-1,X5B002514,,29.5R25 BST VMT D2A L3 *,N,,,No Pressure,38,38,"1,756",0,No Inspection Data,,,0
P02-CAT-41-2,X5B002582,,29.5R25 BST VMT D2A L3 *,N,,,No Pressure,37,37,"1,756",0,No Inspection Data,,,0
P03-CAT-41-3,X5B002524,,29.5R25 BST VMT D2A L3 *,N,,,No Pressure,38,38,"1,756",0,No Inspection Data,,,0
P04-CAT-41-4,W6S002680,,29.5R25 BST VMT D2A L3 *,N,,,No Pressure,38,38,"1,756",0,No Inspection Data,,,0
